序号,类目,产品名称,热度指数,参考价格,搜索词,商品链接
1,女装,女装 热搜单品 爆款,27205,76,春季新款,https://s.taobao.com/search?q=女装+春季新款+爆款&sort=sale-desc
2,美食,美食 热搜单品 必买,53764,265,网红零食,https://s.taobao.com/search?q=网红零食+必买&sort=sale-desc
3,数码,数码 热搜单品 推荐,78888,150,黑科技,https://s.taobao.com/search?q=数码+黑科技+推荐&sort=sale-desc
4,家居,家居 热搜单品 必买,67839,135,ins风,https://s.taobao.com/search?q=家居+ins风+必买&sort=sale-desc
5,美妆,美妆 热搜单品 爆款,63860,232,平价好物,https://s.taobao.com/search?q=美妆+平价好物+爆款&sort=sale-desc
6,男装,男装 热搜单品 爆款,26211,147,商务休闲,https://s.taobao.com/search?q=男装+商务休闲+爆款&sort=sale-desc
7,母婴,母婴 热搜单品 推荐,21178,301,宝宝好物,https://s.taobao.com/search?q=母婴+宝宝好物+推荐&sort=sale-desc
8,户外,户外 热搜单品 种草,32079,179,露营装备,https://s.taobao.com/search?q=户外+露营装备+种草&sort=sale-desc
9,宠物,宠物 热搜单品 必买,64884,264,猫奴必备,https://s.taobao.com/search?q=宠物+猫奴必备+必买&sort=sale-desc
10,文具,文具 热搜单品 爆款,5153,385,学习好物,https://s.taobao.com/search?q=文具+学习好物+爆款&sort=sale-desc
